Date,Open,High,Low,Close,Volume,MA50,Volatility,Signal
2024-03-11 00:00:00+07:00,82176.45946451959,86328.99005738903,81593.64854939948,84507.703125,22.797514,,,Be Carefull!
2024-03-18 00:00:00+07:00,84361.9931562544,84726.24899793936,80937.97469575134,83706.328125,30.307164,,,Be Carefull!
2024-03-25 00:00:00+07:00,83123.52815235064,85527.62605456979,82759.2722629908,84871.9609375,17.23083,,,Be Carefull!
2024-04-01 00:00:00+07:00,84507.69530532262,85673.31702770536,82030.74349998239,82832.109375,19.354705,,,Be Carefull!
2024-04-08 00:00:00+07:00,82832.10744755622,84434.84668733274,81957.8949396294,84143.4375,11.70721,,,Be Carefull!
2024-04-15 00:00:00+07:00,84143.43424074461,84216.28841651474,79408.0859375,79408.0859375,26.002589,,,Be Carefull!
2024-04-22 00:00:00+07:00,80136.60956226151,93249.87267146664,79335.24369244998,89753.0,43.580486,,,Be Carefull!
2024-04-29 00:00:00+07:00,90190.11455091558,93978.38907767773,89971.5595275412,91719.9921875,15.279499,,,Be Carefull!
2024-05-06 00:00:00+07:00,92157.10398899861,96746.7520402151,90700.07298110507,95435.421875,23.346832,,,Be Carefull!
2024-05-13 00:00:00+07:00,95653.97520048126,100025.06061934702,93832.68835478117,97985.21875,25.554259,,,Be Carefull!
2024-05-20 00:00:00+07:00,98495.17567987545,101773.49326453677,95144.00391705343,96091.078125,42.83021,,,Be Carefull!
2024-05-27 00:00:00+07:00,96892.44856889732,100680.72299912402,95144.00842645731,98058.0703125,36.561957,,,Be Carefull!
2024-06-03 00:00:00+07:00,98349.48103595528,105561.77415417497,98130.92601476352,103449.078125,40.169076,,,Be Carefull!
2024-06-10 00:00:00+07:00,104541.85229496016,112096.55021928347,104177.59643858057,109750.734375,46.600161,,,Be Carefull!
2024-06-17 00:00:00+07:00,110750.51216396103,115062.171875,107030.64113931173,115062.171875,46.905735,,,Be Carefull!
2024-06-24 00:00:00+07:00,114132.20706871904,114554.91762455361,108721.49372458708,110327.796875,56.146606,,,Be Carefull!
2024-07-01 00:00:00+07:00,110243.25699436602,118105.69454297505,107791.52515464283,117260.2734375,43.499207,,,Be Carefull!
2024-07-08 00:00:00+07:00,117091.1834798385,118021.15121972741,111765.01703509896,113117.6953125,37.503335,,,Be Carefull!
2024-07-15 00:00:00+07:00,112864.06393635242,113963.11742032722,106523.390625,106523.390625,36.560105,,,Be Carefull!
2024-07-22 00:00:00+07:00,106523.3923983754,108214.2421875,104156.20725096331,108214.2421875,29.592141,,,Be Carefull!
2024-07-29 00:00:00+07:00,109905.0882710349,110412.34550440747,102296.27534407143,104156.2109375,31.686406,,0.047697672182385575,Be Carefull!
2024-08-05 00:00:00+07:00,102380.81744927756,107284.2734375,99252.74270969024,107284.2734375,33.923707,,0.0475983573236156,Be Carefull!
2024-08-12 00:00:00+07:00,107284.27651624999,111173.22579016666,106692.48021785414,110412.34375,26.164452,,0.047726560390979826,Be Carefull!
2024-08-19 00:00:00+07:00,110835.04870091408,113709.49097442905,109905.08096601164,112525.8984375,22.881158,,0.04687015029306729,Be Carefull!
2024-08-26 00:00:00+07:00,112694.98556606182,114047.66385295813,110243.25379743609,113963.1171875,16.876592,,0.04687729488398975,Be Carefull!
2024-09-02 00:00:00+07:00,112441.35074472462,112441.35074472462,109651.45516113675,111680.46875,19.828527,,0.04456718814369828,Be Carefull!
2024-09-09 00:00:00+07:00,110581.43137505317,112779.53086430095,109566.91690715034,112441.359375,21.820559,,0.03592741559856515,Be Carefull!
2024-09-16 00:00:00+07:00,111426.8467357702,115823.0530823429,110835.05045792424,114385.828125,23.2768,,0.035874726335375695,Be Carefull!
2024-09-23 00:00:00+07:00,114893.08431967068,114893.08431967068,112779.52403296957,113455.859375,20.183663,,0.03546627246449441,Be Carefull!
2024-09-30 00:00:00+07:00,113455.85938190756,115146.70913049213,112441.3525709983,113371.3203125,20.280131,,0.03528686424445133,Be Carefull!
2024-10-07 00:00:00+07:00,113455.86402083916,120726.51292010923,112948.61439244621,118021.15625,23.915167,,0.03541484460897855,Be Carefull!
2024-10-14 00:00:00+07:00,119289.28573686164,119458.37147510433,114554.91544848173,115823.0546875,19.872803,,0.035935417277003015,Be Carefull!
2024-10-21 00:00:00+07:00,115823.06006263634,116414.85637614802,112103.19643547665,113286.7890625,18.592162,,0.03485044327933278,Be Carefull!
2024-10-28 00:00:00+07:00,113371.31292679276,114977.61590572157,112948.60241608552,113794.0234375,11.757826,,0.03228601425600933,Be Carefull!
2024-11-04 00:00:00+07:00,113794.03223921216,116330.30309523367,111849.55766307552,114808.5390625,17.17329,,0.03047588523465498,Be Carefull!
2024-11-11 00:00:00+07:00,115400.32576309516,118274.76785347541,112103.18076000402,113202.2265625,26.860547,,0.02910478877601753,Be Carefull!
2024-11-18 00:00:00+07:00,113286.77322152472,113794.02279326036,107115.17853245015,113202.2265625,37.572108,,0.025299550758318662,Be Carefull!
2024-11-25 00:00:00+07:00,113286.78219619716,122924.6083743257,112610.43925283164,121994.640625,51.86672,,0.02958990578271047,Be Carefull!
2024-12-02 00:00:00+07:00,121994.64505769842,128419.86527511363,119712.00652990911,126390.8515625,41.939842,,0.026456582653202842,Be Carefull!
2024-12-09 00:00:00+07:00,127150.54863044387,129451.52470719557,124508.67671657856,127406.2109375,34.465875,,0.026406076643604875,Be Carefull!
2024-12-16 00:00:00+07:00,127491.42915431096,128343.64960553682,125446.11538461538,127406.2109375,31.206524,,0.024205951007630875,Be Carefull!
2024-12-23 00:00:00+07:00,127406.21147033265,129025.41884949869,126724.44276312394,127491.4296875,23.657712,,0.02384004168682383,Be Carefull!
2024-12-30 00:00:00+07:00,127320.98973499647,131155.96253402418,126553.99517519094,126980.1015625,23.730835,,0.023510190869317358,Be Carefull!
2025-01-06 00:00:00+07:00,127065.32512163006,128940.20249259421,125446.11771910317,125531.3359375,18.517773,,0.02369007142044229,Be Carefull!
2025-01-13 00:00:00+07:00,124508.67379683514,127917.54020855378,123315.57284972054,126980.1015625,23.769025,,0.023672435482334622,Be Carefull!
2025-01-20 00:00:00+07:00,126980.10439537583,132945.60926403687,126298.32803517272,130729.84375,25.587405,,0.02343210989883097,Be Carefull!
2025-02-03 00:00:00+07:00,126127.88709853044,127150.55166440345,123826.91096687477,124508.6796875,38.580771,,0.026547048503544963,Be Carefull!
2025-02-10 00:00:00+07:00,123997.35572316633,124167.79216176497,119395.3881220398,123486.0234375,27.193193,,0.02656027698748597,Be Carefull!
2025-02-17 00:00:00+07:00,123571.23982723158,123571.23982723158,120588.4873465653,121014.59375,19.168427,,0.026979402834723727,Be Carefull!
2025-02-24 00:00:00+07:00,121014.59139986732,121185.03548925581,117776.1766713557,119565.828125,34.144302,109950.36671875,0.027189871438010105,Be Carefull!
2025-03-03 00:00:00+07:00,119736.2710584679,122292.9170613672,118543.17010088977,120503.265625,22.72031,110670.27796875,0.025721551649327705,Be Carefull!
2025-03-10 00:00:00+07:00,120588.48620687623,120588.48620687623,111469.78475836026,111981.109375,43.898255,111235.77359375,0.030113746813548697,Be Carefull!
2025-03-17 00:00:00+07:00,112151.54866332597,112662.88091469178,105248.60538131384,109083.578125,54.79669,111720.0059375,0.030269972891864828,Buy!
2025-03-24 00:00:00+07:00,109509.68365124756,110702.7845718306,103203.29088341637,105674.7109375,37.248495,112176.85796875,0.030948128124743797,Buy!
2025-03-31 00:00:00+07:00,105163.39897486054,105163.39897486054,89993.95803739163,96300.3515625,58.843919,112419.99625,0.03618564446882009,Buy!
2025-04-07 00:00:00+07:00,90334.8405677637,100987.53125,83346.67107000166,100987.53125,64.722801,112851.58515625,0.03830172039543561,Buy!
2025-04-14 00:00:00+07:00,102265.85560166306,102265.85560166306,89397.39969328417,95107.2421875,65.205685,112958.67,0.04007455559910361,Buy!
2025-04-21 00:00:00+07:00,95448.12745931148,96896.8906785533,88630.40242865575,95789.015625,42.382555,113040.05046875,0.03492077801903844,Buy!
2025-04-28 00:00:00+07:00,95448.13288979416,95789.02107487737,92976.70503287592,93232.375,11.886283,112995.98953125,0.03320866766621847,Buy!
2025-05-05 00:00:00+07:00,93317.5936113509,99197.88037402026,91101.83571221594,98856.9921875,47.398118,113013.425,0.03693151105318995,Buy!
2025-05-12 00:00:00+07:00,99709.2114580479,108146.14420519341,99453.54149291209,103118.0703125,56.937957,113153.96484375,0.038872045305263815,Buy!
2025-05-19 00:00:00+07:00,101243.20063470167,102691.96392528006,98516.11048815849,99794.4296875,51.857761,113188.69203125,0.03910155358980034,Buy!
2025-05-26 00:00:00+07:00,99453.54581700312,101754.52966352885,98004.78246361116,99283.109375,25.845997,113105.37265625,0.03909121918390885,Buy!
2025-06-02 00:00:00+07:00,99283.10814555908,100731.87148101073,98004.78125,98004.78125,32.443224,112870.45359375,0.03909243080096442,Buy!
2025-06-09 00:00:00+07:00,98430.89009705363,100731.87397198637,97919.5654514844,98345.671875,29.134185,112536.12359375,0.03888261635093738,Buy!
2025-06-16 00:00:00+07:00,99056.18979984592,103101.06044171617,98970.1321771013,99916.8046875,39.791765,112327.90375,0.038233939324790446,Buy!
2025-06-23 00:00:00+07:00,99400.43993167173,102756.81880445233,98539.83273989688,100949.5390625,41.950364,112001.6890625,0.03763701016439424,Buy!
2025-06-30 00:00:00+07:00,101465.9055791749,106199.26048430637,101207.71724221164,105424.7109375,53.126009,111847.829375,0.039535909357960516,Buy!
2025-07-07 00:00:00+07:00,106113.1933230448,110158.0639689039,105252.58616658361,108953.203125,51.151214,111896.425625,0.04041703277718393,Buy!
2025-07-14 00:00:00+07:00,109469.57390155277,111104.73061918146,107576.2288470046,108436.84375,39.7651,111900.87765625,0.04037851511293468,Buy!
2025-07-21 00:00:00+07:00,111242.42976513098,111638.31029810298,107580.53483514002,109559.9375,32.564116,112008.9521875,0.040421541761790004,Buy!
2025-07-28 00:00:00+07:00,109658.90400116822,110450.66504088785,100454.68191442757,105898.0390625,53.054259,111981.2275,0.03796513757368723,Buy!
2025-08-04 00:00:00+07:00,105403.19213867188,107580.5350748698,103423.78946940105,104512.4609375,51.80941,111863.22984375,0.03764990916484189,Buy!
2025-08-11 00:00:00+07:00,104809.37490754438,108372.29983357988,100256.74861316568,100355.71875,79.99153,111619.82625,0.03805096071833858,Buy!
2025-08-18 00:00:00+07:00,100355.71283143939,101939.234927399,96495.87772253787,97980.4296875,61.04988,111300.1725,0.032633424413655035,Buy!
2025-08-25 00:00:00+07:00,100949.53678641732,104017.61094365157,96891.76128813977,100553.65625,52.817986,111077.63625,0.03128042660897572,Buy!
2025-09-01 00:00:00+07:00,100949.53533002902,104413.48997370648,98970.13267649904,102335.1171875,38.44639,110875.51140625,0.028273178412982585,Buy!
2025-09-08 00:00:00+07:00,101939.23812746063,102829.9693343996,99464.98477485236,100553.65625,46.787534,110598.86796875,0.028661731911773028,Buy!
2025-09-15 00:00:00+07:00,100850.56293992719,106689.80063713592,99464.98111347087,101939.234375,89.78348,110368.53546875,0.027886991282203295,Buy!
2025-09-22 00:00:00+07:00,101444.38962339744,101642.32989583333,96396.91267628205,96495.8828125,64.345672,110031.02671875,0.027570071912240642,Buy!
2025-09-29 00:00:00+07:00,96792.78728921305,96792.78728921305,90458.69895944861,92438.1015625,51.033447,109519.365625,0.026994989934939782,Buy!
2025-10-06 00:00:00+07:00,93328.8344985692,95902.05793119146,92537.07344237773,95110.296875,40.656137,109105.11046875,0.02722210723380015,Buy!
2025-10-13 00:00:00+07:00,93922.6565692395,93922.6565692395,87192.6875,87192.6875,59.812798,108583.2284375,0.032733883951372,Buy!
2025-10-20 00:00:00+07:00,87390.62777475691,97980.4320464432,86104.01604081372,96693.8203125,80.060081,108241.224375,0.04153311250877681,Buy!
2025-10-27 00:00:00+07:00,97980.4322064485,102829.96875,95308.23860081809,102829.96875,76.65576,108001.65296875,0.043885854272576255,Buy!
2025-11-03 00:00:00+07:00,102730.99970606435,105205.25307085396,98376.31378403465,99959.8359375,64.877534,107736.80515625,0.04430539799498224,Buy!
2025-11-10 00:00:00+07:00,100157.77440625,100157.77440625,95110.2976328125,98970.1328125,42.389055,107452.16328125,0.04431070409213436,Buy!
2025-11-17 00:00:00+07:00,99563.95036582342,100751.59192088294,96792.7867373512,99761.890625,35.977707,107007.50828125,0.043123565107798356,Buy!
2025-11-24 00:00:00+07:00,99662.92481977344,100058.80535530382,96100.0,96100.0,34.876999,106401.69125,0.04295019402888029,Buy!
2025-12-01 00:00:00+07:00,95902.05653911122,97485.57862850832,94417.50458030145,95209.265625,31.57279,105757.75234375,0.042958506670784664,Buy!
2025-12-08 00:00:00+07:00,96600.0,97300.0,93500.0,93700.0,32.227657,105083.628125,0.04284509346124029,Buy!
2025-12-15 00:00:00+07:00,93900.0,96300.0,92000.0,93900.0,24.929862,104411.79953125,0.04242353294948611,Buy!
2025-12-22 00:00:00+07:00,94100.0,95900.0,91000.0,92500.0,31.23978,103722.1975,0.042443454931167995,Buy!
2025-12-29 00:00:00+07:00,92500.0,97000.0,92500.0,95800.0,17.042357,103127.57078125,0.04256571259393895,Buy!
2026-01-05 00:00:00+07:00,95700.0,99900.0,93200.0,97400.0,41.061011,102535.96875,0.042414598449182946,Buy!
2026-01-12 00:00:00+07:00,98000.0,105300.0,97800.0,105300.0,66.596004,102027.371875,0.045802441584044694,Be Carefull!
2026-01-19 00:00:00+07:00,108700.0,108700.0,101000.0,101000.0,63.000362,101557.19828125,0.046694376967905266,Buy!
2026-01-26 00:00:00+07:00,100200.0,107200.0,98000.0,104500.0,64.47533,101177.4778125,0.047100961197692116,Be Carefull!
2026-02-02 00:00:00+07:00,103300.0,105400.0,96700.0,97600.0,65.23541,100709.1859375,0.049458264468536094,Buy!
2026-02-09 00:00:00+07:00,98800.0,99900.0,96300.0,96300.0,44.495578,100243.869375,0.04801545619286209,Buy!
2026-02-23 00:00:00+07:00,96800.0,96800.0,89000.0,92900.0,138.46549,99691.8040625,0.04772009340515486,Buy!
2026-03-02 00:00:00+07:00,90100.0,91500.0,81500.0,81600.0,106.56605,99084.181875,0.05452653495944668,Buy!
2026-03-09 00:00:00+07:00,76000.0,81000.0,75900.0,77000.0,92.327072,98442.5103125,0.05283305778127336,Buy!
